주문일시,강원도,경기도,경상남도,경상북도,광주광역시,대구광역시,대전광역시,부산광역시,서울특별시,세종특별자치시,인천광역시,전라남도,전라북도,제주특별자치도,충청남도,충청북도,
2019-09-30,맑음,맑음,비,구름,구름,구름,구름,비,맑음,구름,비,맑음,비,구름,비,맑음,맑음
,,,,,,,,,,,,,,,,,
2019-10-01,구름,구름,비,비,비,비,흐림,비,구름,구름,비,구름,비,비,비,흐림,흐림
2019-10-02,비,비,비,비,비,비,비,비,비,비,비,비,비,비,비,비,비
2019-10-03,비,비,비,비,비,비,비,비,비,비,비,비,비,비,비,비,비
2019-10-04,구름,구름,맑음,구름,비,구름,구름,맑음,구름,구름,구름,구름,맑음,구름,구름,구름,구름
2019-10-05,비,비,구름,비,구름,흐림,구름,비,비,구름,구름,구름,구름,흐림,구름,흐림,구름
2019-10-06,맑음,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,비,구름,비,구름,구름
2019-10-07,비,비,비,비,비,비,비,비,비,비,비,비,비,비,흐림,비,구름
2019-10-08,맑음,비,구름,구름,비,구름,구름,구름,구름,구름,구름,맑음,구름,비,구름,구름,비
2019-10-09,구름,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,구름,맑음,맑음,맑음,맑음,맑음,맑음,비
2019-10-10,맑음,흐림,맑음,구름,구름,구름,구름,맑음,흐림,구름,맑음,흐림,맑음,구름,맑음,구름,맑음
2019-10-11,구름,맑음,맑음,구름,맑음,맑음,구름,맑음,맑음,구름,맑음,맑음,맑음,맑음,맑음,맑음,구름
2019-10-12,구름,맑음,맑음,구름,맑음,맑음,맑음,맑음,맑음,구름,구름,맑음,맑음,맑음,맑음,맑음,구름
2019-10-13,구름,맑음,맑음,구름,맑음,구름,맑음,맑음,맑음,구름,구름,맑음,맑음,맑음,구름,구름,맑음
2019-10-14,비,맑음,맑음,구름,구름,구름,구름,맑음,맑음,구름,비,맑음,맑음,구름,구름,구름,맑음
2019-10-15,비,구름,구름,비,구름,비,구름,구름,구름,구름,비,맑음,구름,맑음,비,구름,구름
2019-10-16,맑음,구름,구름,구름,구름,구름,구름,구름,구름,구름,맑음,구름,맑음,구름,구름,구름,구름
2019-10-17,구름,구름,구름,비,비,구름,구름,구름,구름,구름,구름,구름,구름,구름,흐림,구름,구름
2019-10-18,비,구름,비,비,비,비,구름,비,구름,구름,비,구름,비,흐림,비,구름,구름
2019-10-19,비,맑음,구름,비,비,비,맑음,구름,맑음,구름,구름,맑음,비,구름,비,맑음,비
2019-10-20,맑음,구름,구름,구름,맑음,구름,맑음,구름,맑음,구름,구름,맑음,맑음,구름,구름,구름,맑음
2019-10-21,맑음,맑음,맑음,구름,맑음,구름,구름,맑음,맑음,구름,구름,구름,맑음,맑음,구름,구름,맑음
2019-10-22,비,구름,구름,구름,구름,구름,구름,비,구름,구름,비,구름,구름,구름,비,구름,맑음
2019-10-23,구름,흐림,비,흐림,비,흐림,비,비,구름,구름,비,구름,비,비,비,흐림,구름
2019-10-24,비,구름,비,비,구름,비,비,비,구름,구름,비,구름,비,구름,비,비,비
2019-10-25,구름,비,비,비,비,구름,구름,구름,비,구름,비,구름,구름,구름,구름,비,구름
2019-10-26,맑음,구름,구름,구름,비,구름,구름,구름,맑음,구름,구름,구름,구름,구름,흐림,구름,구름
2019-10-27,맑음,맑음,구름,맑음,맑음,맑음,맑음,구름,맑음,구름,구름,구름,구름,맑음,구름,맑음,구름
2019-10-28,구름,비,구름,구름,구름,구름,구름,구름,비,구름,구름,맑음,구름,구름,구름,구름,맑음
2019-10-29,비,비,맑음,맑음,비,맑음,구름,맑음,비,비,맑음,비,맑음,비,구름,비,비
2019-10-30,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,구름,맑음,비,맑음,맑음,구름,맑음,맑음
2019-10-31,맑음,구름,맑음,맑음,맑음,맑음,맑음,맑음,구름,구름,맑음,맑음,맑음,맑음,맑음,구름,맑음
,,,,,,,,,,,,,,,,,
2019-11-01,맑음,구름,맑음,맑음,구름,맑음,구름,맑음,맑음,구름,맑음,맑음,맑음,구름,맑음,구름,구름
2019-11-02,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름
2019-11-03,흐림,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름
2019-11-04,구름,맑음,구름,구름,구름,구름,맑음,구름,맑음,구름,구름,맑음,구름,구름,구름,맑음,맑음
2019-11-05,맑음,맑음,구름,맑음,맑음,맑음,맑음,맑음,구름,구름,맑음,구름,맑음,맑음,구름,구름,맑음
2019-11-06,구름,구름,맑음,구름,구름,구름,구름,맑음,맑음,구름,맑음,맑음,구름,구름,맑음,구름,구름
2019-11-07,구름,맑음,구름,구름,구름,구름,구름,구름,맑음,구름,구름,맑음,맑음,구름,구름,구름,맑음
2019-11-08,맑음,맑음,구름,맑음,맑음,맑음,맑음,맑음,맑음,구름,맑음,맑음,맑음,맑음,구름,맑음,맑음
2019-11-09,구름,맑음,맑음,맑음,맑음,맑음,맑음,맑음,흐림,구름,맑음,흐림,구름,맑음,맑음,맑음,맑음
2019-11-10,구름,흐림,구름,구름,구름,구름,구름,구름,구름,비,구름,구름,맑음,흐림,구름,구름,구름
2019-11-11,맑음,구름,맑음,맑음,구름,구름,구름,맑음,구름,비,맑음,구름,맑음,구름,구름,구름,구름
2019-11-12,맑음,구름,구름,구름,구름,맑음,맑음,구름,흐림,구름,구름,구름,구름,맑음,구름,구름,맑음
2019-11-13,구름,구름,구름,구름,구름,구름,구름,구름,맑음,비,구름,맑음,맑음,구름,구름,흐림,구름
2019-11-14,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,구름,구름,맑음,구름,맑음,맑음,구름,맑음,맑음
2019-11-15,구름,흐림,맑음,맑음,맑음,맑음,구름,맑음,구름,비,맑음,구름,맑음,맑음,맑음,구름,구름
2019-11-16,맑음,구름,맑음,맑음,구름,구름,구름,맑음,흐림,비,맑음,흐림,흐림,구름,맑음,구름,구름
2019-11-17,흐림,흐림,흐림,흐림,흐림,흐림,흐림,흐림,구름,비,흐림,구름,흐림,흐림,구름,흐림,흐림
2019-11-18,구름,구름,흐림,흐림,흐림,흐림,흐림,흐림,맑음,비,흐림,맑음,구름,흐림,흐림,흐림,흐림
2019-11-19,맑음,맑음,맑음,맑음,구름,구름,구름,구름,맑음,비,구름,맑음,맑음,구름,흐림,구름,구름
2019-11-20,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,구름,구름,맑음,구름,구름,맑음,구름,맑음,맑음
2019-11-21,구름,구름,구름,구름,구름,구름,구름,맑음,맑음,구름,구름,맑음,맑음,구름,구름,구름,구름
2019-11-22,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,구름,구름,구름,구름,구름,맑음,구름,구름,맑음
2019-11-23,구름,구름,구름,구름,맑음,구름,구름,구름,구름,비,구름,구름,구름,구름,구름,구름,구름
2019-11-24,구름,구름,구름,구름,구름,구름,구름,구름,구름,비,구름,구름,구름,구름,흐림,구름,구름
2019-11-25,구름,구름,구름,구름,구름,흐림,구름,구름,구름,구름,흐림,구름,구름,구름,흐림,구름,구름
2019-11-26,맑음,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,흐림,구름,흐림,구름,구름
2019-11-27,구름,구름,흐림,흐림,흐림,흐림,구름,흐림,구름,구름,흐림,구름,구름,흐림,흐림,구름,구름
2019-11-28,구름,맑음,구름,구름,맑음,구름,맑음,구름,맑음,구름,구름,구름,맑음,구름,구름,구름,구름
2019-11-29,구름,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,구름,맑음,맑음,구름,맑음,맑음,맑음,맑음
2019-11-30,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,흐림,구름,구름,구름,구름
,,,,,,,,,,,,,,,,,
2019-12-01,흐림,흐림,흐림,흐림,흐림,흐림,흐림,흐림,흐림,비,흐림,흐림,구름,흐림,흐림,흐림,흐림
2019-12-02,맑음,구름,구름,구름,구름,구름,구름,구름,맑음,구름,구름,구름,구름,구름,흐림,구름,구름
2019-12-03,맑음,구름,맑음,맑음,구름,구름,구름,맑음,구름,비,맑음,구름,맑음,구름,구름,구름,구름
2019-12-04,맑음,맑음,맑음,맑음,구름,구름,구름,맑음,맑음,구름,맑음,맑음,맑음,구름,구름,구름,구름
2019-12-05,맑음,맑음,맑음,맑음,맑음,맑음,맑음,구름,맑음,구름,맑음,맑음,구름,맑음,구름,맑음,맑음
2019-12-06,맑음,맑음,구름,구름,맑음,맑음,맑음,구름,맑음,구름,구름,맑음,맑음,맑음,구름,맑음,맑음
2019-12-07,맑음,구름,맑음,맑음,구름,맑음,구름,맑음,구름,구름,맑음,구름,맑음,구름,구름,구름,구름
2019-12-08,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,맑음,구름,맑음,맑음,맑음,맑음,구름,맑음,맑음
2019-12-09,구름,구름,맑음,맑음,구름,맑음,구름,맑음,구름,구름,맑음,흐림,맑음,맑음,구름,맑음,구름
2019-12-10,구름,구름,구름,구름,구름,구름,구름,맑음,흐림,구름,구름,구름,맑음,구름,구름,구름,구름
2019-12-11,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름
2019-12-12,맑음,맑음,구름,맑음,맑음,맑음,맑음,맑음,맑음,구름,맑음,맑음,맑음,맑음,구름,맑음,맑음
2019-12-13,구름,구름,맑음,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름,구름
